Verbosity Control,Metric,Top1 Index,Top1 Count (all files),Top1 Answers from each file,Top2 Index,Top2 Count (all files),Top2 Answers from each file,Top3 Index,Top3 Count (all files),Top3 Answers from each file
Answer the following question.,rouge2_f1,43,1,[['The Major League Soccer All-Star Game features select players from the league against an international club. Players are awarded roster spots through a combination of fan voting and selections by the appointed manager and league commissioner.']],42,1,"[['A DPT degree is a post-baccalaureate degree that takes 7 years to complete, while a Transitional Doctor of Physical Therapy (TDPT) Degree is offered for those who already hold a professional Bachelor or Master of Physical Therapy (PT or MPT) degree.']]",9,1,"[['The Emperors of Japan have nearly always been controlled by external political forces , to varying degrees . In fact , between 1192 and 1867 , the shōguns , or their shikken regents in Kamakura ( 1203 -- 1333 ) , were the de facto rulers of Japan , although they were nominally appointed by the Emperor . Since the enactment of the 1947 Constitution , he has been a ceremonial head of state without even nominal political powers .']]"
Answer the following question. Keep your answer short.,rouge2_f1,40,1,"[['By ""Prom-asaurus"" Quinn is able to stand and walk a few steps. Her recovery is rapid enough to allow her to dance in the ""Nationals"" competition episode.']]",37,1,"[[""No one could enter or leave the palace without the emperor's permission.""]]",29,1,"[['The beach scenes were filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.']]"
"Directly answer the following question, making sure to avoid any additional context or explanations.",rouge2_f1,42,1,[['A Transitional Doctor of Physical Therapy Degree is offered for those who already hold a professional Bachelor or Master of Physical Therapy degree.']],40,1,"[[""By `` Prom - asaurus '' she is able to stand and to walk a few steps in the sessions.""]]",37,1,"[[""No one could enter or leave the palace without the emperor's permission.""]]"
Directly answer the following question.,rouge2_f1,43,1,[['The Major League Soccer All-Star Game features select players from the league against an international club. Players are awarded roster spots through a combination of fan voting and selections by the appointed manager and league commissioner.']],42,1,"[['A DPT is a post-baccalaureate degree that takes 7 years to complete, while a Transitional Doctor of Physical Therapy (TDPT) Degree is for those who already hold a professional Bachelor or Master of Physical Therapy (PT or MPT) degree.']]",2,1,"[['The Cedar River begins in Dodge County, Minnesota and ends in Louisa County, Iowa at the town of Columbus Junction, where it joins with the Iowa River.']]"
Directly answer the following question. Avoid any additional context or explanations.,rouge2_f1,40,1,"[[""By `` Prom - asaurus '' she is able to stand and to walk a few steps in the sessions.""]]",29,1,"[['The beach scenes were predominantly filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.']]",2,1,"[['The headwaters of the Cedar River are located in Dodge County, Minnesota and the endpoint is located in Louisa County, Iowa at the town of Columbus Junction.']]"
"Provide a direct and concise answer to the following question. Avoid any additional context, explanations, or unnecessary details.",rouge2_f1,42,1,"[['A Transitional Doctor of Physical Therapy Degree (TDPT) is for those who already hold a professional Bachelor or Master of Physical Therapy degree, while a Doctor of Physical Therapy (DPT) is a post-baccalaureate degree.']]",37,1,"[[""No one could enter or leave without the emperor's permission.""]]",26,1,"[[""Rosaline is Capulet's niece and Juliet's cousin.""]]"
You are a highly skilled and concise AI. Directly answer the following question. ,rouge2_f1,40,1,"[['By ""Prom-asaurus"" Quinn is able to stand and to walk a few steps in the sessions. Her recovery is rapid enough to allow her to dance in the ""Nationals"" competition episode.']]",29,1,"[['Principal photography took place in the United Kingdom, with beach scenes filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.']]",2,1,"[['The Cedar River begins in Dodge County, Minnesota and ends in Louisa County, Iowa at the town of Columbus Junction, where it joins with the Iowa River.']]"
Answer the following question.,rougeL_f1,43,1,[['The Major League Soccer All-Star Game features select players from the league against an international club. Players are awarded roster spots through a combination of fan voting and selections by the appointed manager and league commissioner.']],42,1,"[['A DPT degree is a post-baccalaureate degree that takes 7 years to complete, while a Transitional Doctor of Physical Therapy (TDPT) Degree is offered for those who already hold a professional Bachelor or Master of Physical Therapy (PT or MPT) degree.']]",40,1,"[['According to the text, by the episode ""Prom-asaurus"", Quinn is able to stand and walk a few steps in her sessions. Her recovery is rapid enough to allow her to dance in the ""Nationals"" competition episode.']]"
Answer the following question. Keep your answer short.,rougeL_f1,40,1,"[['By ""Prom-asaurus"" Quinn is able to stand and walk a few steps. Her recovery is rapid enough to allow her to dance in the ""Nationals"" competition episode.']]",37,1,"[[""No one could enter or leave the palace without the emperor's permission.""]]",29,1,"[['The beach scenes were filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.']]"
"Directly answer the following question, making sure to avoid any additional context or explanations.",rougeL_f1,40,1,"[[""By `` Prom - asaurus '' she is able to stand and to walk a few steps in the sessions.""]]",37,1,"[[""No one could enter or leave the palace without the emperor's permission.""]]",20,1,"[['Northern Hemisphere: rises in the southeast, transits the celestial meridian at a low angle in the south, and sets in the southwest. Southern Hemisphere: rises in the northeast, peaks out at a low angle in the north, and sets in the northwest.']]"
Directly answer the following question.,rougeL_f1,43,1,[['The Major League Soccer All-Star Game features select players from the league against an international club. Players are awarded roster spots through a combination of fan voting and selections by the appointed manager and league commissioner.']],42,1,"[['A DPT is a post-baccalaureate degree that takes 7 years to complete, while a Transitional Doctor of Physical Therapy (TDPT) Degree is for those who already hold a professional Bachelor or Master of Physical Therapy (PT or MPT) degree.']]",2,1,"[['The Cedar River begins in Dodge County, Minnesota and ends in Louisa County, Iowa at the town of Columbus Junction, where it joins with the Iowa River.']]"
Directly answer the following question. Avoid any additional context or explanations.,rougeL_f1,29,1,"[['The beach scenes were predominantly filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.']]",20,1,"[['In the Northern Hemisphere, the sun rises in the southeast, transits the celestial meridian at a low angle in the south, and sets in the southwest. In the Southern Hemisphere, the sun rises in the northeast, peaks out at a low angle in the north, and sets in the northwest.']]",2,1,"[['The headwaters of the Cedar River are located in Dodge County, Minnesota and the endpoint is located in Louisa County, Iowa at the town of Columbus Junction.']]"
"Provide a direct and concise answer to the following question. Avoid any additional context, explanations, or unnecessary details.",rougeL_f1,42,1,"[['A Transitional Doctor of Physical Therapy Degree (TDPT) is for those who already hold a professional Bachelor or Master of Physical Therapy degree, while a Doctor of Physical Therapy (DPT) is a post-baccalaureate degree.']]",37,1,"[[""No one could enter or leave without the emperor's permission.""]]",26,1,"[[""Rosaline is Capulet's niece and Juliet's cousin.""]]"
You are a highly skilled and concise AI. Directly answer the following question. ,rougeL_f1,43,1,"[['The Major League Soccer All-Star Game features select players from the league against an international club, with players awarded roster spots through fan voting, selections by the appointed manager, and the league commissioner.']]",40,1,"[['By ""Prom-asaurus"" Quinn is able to stand and to walk a few steps in the sessions. Her recovery is rapid enough to allow her to dance in the ""Nationals"" competition episode.']]",2,1,"[['The Cedar River begins in Dodge County, Minnesota and ends in Louisa County, Iowa at the town of Columbus Junction, where it joins with the Iowa River.']]"
Answer the following question.,bert_f1,43,1,[['The Major League Soccer All-Star Game features select players from the league against an international club. Players are awarded roster spots through a combination of fan voting and selections by the appointed manager and league commissioner.']],42,1,"[['A DPT degree is a post-baccalaureate degree that takes 7 years to complete, while a Transitional Doctor of Physical Therapy (TDPT) Degree is offered for those who already hold a professional Bachelor or Master of Physical Therapy (PT or MPT) degree.']]",15,1,"[['The Reichsbank responded by the unlimited printing of notes , thereby accelerating the devaluation of the mark .']]"
Answer the following question. Keep your answer short.,bert_f1,43,1,"[['The MLS All-Star Game features select MLS players against an international club. Players are chosen through fan voting, manager selections, and league commissioner picks.']]",29,1,"[['The beach scenes were filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.']]",26,1,"[[""Rosaline is Capulet's niece and Juliet's cousin.""]]"
"Directly answer the following question, making sure to avoid any additional context or explanations.",bert_f1,42,1,[['A Transitional Doctor of Physical Therapy Degree is offered for those who already hold a professional Bachelor or Master of Physical Therapy degree.']],40,1,"[[""By `` Prom - asaurus '' she is able to stand and to walk a few steps in the sessions.""]]",26,1,"[[""Rosaline is Capulet's niece and Juliet's cousin.""]]"
Directly answer the following question.,bert_f1,43,1,[['The Major League Soccer All-Star Game features select players from the league against an international club. Players are awarded roster spots through a combination of fan voting and selections by the appointed manager and league commissioner.']],42,1,"[['A DPT is a post-baccalaureate degree that takes 7 years to complete, while a Transitional Doctor of Physical Therapy (TDPT) Degree is for those who already hold a professional Bachelor or Master of Physical Therapy (PT or MPT) degree.']]",15,1,"[['The Reichsbank responded by the unlimited printing of notes, thereby accelerating the devaluation of the mark.']]"
Directly answer the following question. Avoid any additional context or explanations.,bert_f1,29,1,"[['The beach scenes were predominantly filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.']]",26,1,"[[""Rosaline is Capulet's niece and Juliet's cousin.""]]",2,1,"[['The headwaters of the Cedar River are located in Dodge County, Minnesota and the endpoint is located in Louisa County, Iowa at the town of Columbus Junction.']]"
